Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Celiac Disease,Swollen joints,Stooped posture,Throbbing pain,Nausea,Rapid pulse,Frequent urination,Fatigue,Itching,Vomiting,Receding gums,Bloating,Diarrhea,Mucus production,Swelling,Difficulty swallowing,Blisters,Shortness of breath
Diabetes,Redness,Unexplained bleeding,Throbbing pain,Anemia,Frequent urination,Vomiting,Problems with words,Skin infections,Difficulty thinking,Swelling,Diarrhea,Bloating,Irritability,Blisters,Shortness of breath,Thickened skin,Hunger
Diabetes,Soreness,Sneezing,Nosebleeds,Loss of smell,Reduced appetite,Chest discomfort,Slight fever,Loss of height,Skin infections,Swelling,Bloating,Diarrhea,Vomiting,Difficulty swallowing,Shortness of breath,Hunger,Gas
Kidney Stones,Severe headache,Redness,Bleeding mole,Throbbing pain,Nausea,Rapid pulse,Nosebleeds,Frequent urination,Itching,Slight fever,Receding gums,Swelling,Mucus production,Shortness of breath,Thickened skin,Anemia,Sore that doesn’t heal
Peptic Ulcer,Blood in stool,Unexplained bleeding,Stooped posture,Difficulty sleeping,Nausea,Tremor,Loss of smell,Fullness,Itching,Slight fever,Problems with words,Bloating,Swelling,Body aches,Blisters,Shortness of breath,Hunger
Leukemia,Severe headache,Redness,Rash,Nausea,Nosebleeds,Constipation,Loss of smell,Frequent infections,Withdrawal from work,Fatigue,Vomiting,Easy bruising,Diarrhea,Bloating,Bone pain,Swelling,Hunger
Ulcerative Colitis,Redness,Blood in stool,Burning,Rash,Nausea,Increased mucus production,Frequent urination,Unexplained fevers,Vomiting,Loss of height,Diarrhea,Skin infections,Difficulty performing familiar tasks,Bloating,Swelling,Shortness of breath,Hunger
Alzheimer's Disease,Burning,Staring spells,Increased mucus production,Misplacing things,Mild fever,Withdrawal from work,Fatigue,Chest discomfort,Loss of height,Problems with words,Receding gums,Swelling,Bloating,Difficulty swallowing,Numbness,Tophi,Anemia
Celiac Disease,Unexplained bleeding,Soreness,Sneezing,Difficulty sleeping,Increased mucus production,Staring spells,Nosebleeds,Vomiting,Itching,Diarrhea,Receding gums,Bone fractures,Mucus production,Swelling,Change in existing mole,Bloating,Anemia
Epilepsy,Inability to defecate,Fear,Staring spells,Sneezing,Nosebleeds,Increased mucus production,Neck stiffness,Reduced appetite,Vomiting,Itching,Diarrhea,Problems with words,Bone pain,Bone fractures,Change in existing mole,Bloating,Shortness of breath
Lupus,Bleeding mole,Change in bowel habits,Nausea,Misplacing things,Coughing up blood,Neck stiffness,Frequent urination,Belching,Reduced appetite,Change in existing mole,Vomiting,Receding gums,Diarrhea,Bone pain,Swelling,Bloating,Shortness of breath
Common Cold,Severe headache,Swollen joints,Bleeding mole,Fear,Body aches,Rash,Aura,Nausea,Coughing up blood,Unexplained fevers,Change in existing mole,Loss of height,Bloating,Irritability,Numbness,Shortness of breath,Hunger
Appendicitis,Unexplained bleeding,Throbbing pain,Difficulty sleeping,Nausea,Increased mucus production,Constipation,Loss of smell,Fullness,Vomiting,Chest discomfort,Diarrhea,Change in existing mole,Swelling,Difficulty swallowing,Shortness of breath,Thickened skin,Anemia
Psoriasis,Nausea,Nosebleeds,Constipation,Frequent urination,Fullness,Reduced appetite,Fatigue,Itching,Chest discomfort,Problems with words,Receding gums,Loss of height,Diarrhea,Vomiting,Shortness of breath,Hunger,Gas
Eczema,Redness,Body aches,Nausea,Tremor,Nosebleeds,Misplacing things,Constipation,Fullness,Fatigue,Itching,Mouth sores,Bloating,Numbness,Irritability,Difficulty swallowing,Shortness of breath,Gas
Asthma,Inability to defecate,Stooped posture,Nausea,Nosebleeds,Hard lumps,Frequent urination,Increased mucus production,Withdrawal from work,Chest discomfort,Vomiting,Diarrhea,Morning stiffness,Swelling,Bone pain,Shortness of breath,Thickened skin,Hunger
Pancreatitis,Severe headache,Redness,Inability to defecate,Stooped posture,Aura,Rash,Neck stiffness,Reduced appetite,Vomiting,Slight fever,Itching,Bloating,Morning stiffness,Shortness of breath,Irritability,Loss of taste,Anemia
Hepatitis C,Change in bowel habits,Nausea,Misplacing things,Belching,Fatigue,Itching,Change in existing mole,Diarrhea,Difficulty performing familiar tasks,Bloating,Receding gums,Swelling,Vomiting,Stiff joints,Numbness,Hunger,Gas
Leukemia,Throbbing pain,Difficulty sleeping,Nausea,Nosebleeds,Misplacing things,Frequent urination,Loss of smell,Vomiting,Slight fever,Tender abdomen,Bone pain,Swelling,Difficulty swallowing,Tophi,Shortness of breath,Anemia,Sore that doesn’t heal
Heart Disease,Nausea,Nosebleeds,Jaw pain,Fatigue,Anxiety,Vomiting,Loss of height,Problems with words,Itching,Swelling,Change in existing mole,Bloating,Diarrhea,Body aches,Irregular heartbeat,Difficulty swallowing,Shortness of breath
Crohn's Disease,Redness,Bowel issues,Swollen joints,Frequent urination,Loss of smell,Reduced appetite,Itching,Slight fever,Diarrhea,Skin infections,Problems with words,Mucus production,Swelling,Bloating,Vomiting,Blisters,Anemia
Hepatitis C,Redness,Inability to defecate,Soreness,Body aches,Nausea,Constipation,Neck stiffness,Loss of automatic movements,Withdrawal from work,Fatigue,Receding gums,Skin infections,Difficulty performing familiar tasks,Irritability,Difficulty swallowing,Shortness of breath,Swollen lymph nodes
Psoriasis,Redness,Nausea,Nosebleeds,Constipation,Pain during urination,Reduced appetite,Fatigue,Congestion,Diarrhea,Tender abdomen,Difficulty thinking,Bone pain,Swelling,Body aches,Shortness of breath,Hunger,Sore that doesn’t heal
Common Cold,Aura,Sneezing,Nausea,Nosebleeds,Rapid pulse,Pain during urination,Withdrawal from work,Fatigue,Vomiting,Itching,Diarrhea,Morning stiffness,Bone fractures,Swelling,Body aches,Shortness of breath,Hunger
Alzheimer's Disease,Blood in stool,Rash,Nausea,Hard lumps,Misplacing things,Coughing up blood,Constipation,Limited range of motion,Fatigue,Problems with words,Receding gums,Swelling,Diarrhea,Weakness,Irritability,Shortness of breath,Anemia
HIV/AIDS,Rash,Frequent urination,Change in existing mole,Itching,Diarrhea,Receding gums,Swelling,Mucus production,Tenderness,Bloating,Body aches,Vomiting,Difficulty swallowing,Tophi,Shortness of breath,Thickened skin,Anemia
Crohn's Disease,Swollen joints,Staring spells,Rapid pulse,Coughing up blood,Frequent urination,Unconsciousness,Withdrawal from work,Fatigue,Vomiting,Itching,Diarrhea,Shortness of breath,Difficulty thinking,Bone fractures,Congestion,Loss of taste,Anemia
Multiple Sclerosis,Unexplained bleeding,Swollen joints,Burning,Difficulty sleeping,Nausea,Hard lumps,Coughing up blood,Chest discomfort,Itching,Receding gums,Skin infections,Tender abdomen,Bone fractures,Swelling,Vomiting,Blisters,Shortness of breath
Ulcerative Colitis,Blood in stool,Unexplained bleeding,Bleeding mole,Staring spells,Nausea,Hard lumps,Rapid pulse,Pain during urination,Mild fever,Vomiting,Chest discomfort,Diarrhea,Difficulty performing familiar tasks,Problems with words,Itching,Difficulty swallowing,Shortness of breath
Bronchitis,Stooped posture,Fear,Rash,Nausea,Jaw pain,Loss of automatic movements,Unexplained fevers,Fatigue,Itching,Vomiting,Receding gums,Swelling,Mucus production,Tenderness,Difficulty swallowing,Shortness of breath,Thickened skin
Gout,Redness,Swollen joints,Hard lumps,Vomiting,Loss of height,Diarrhea,Problems with words,Difficulty performing familiar tasks,Bloating,Tender abdomen,Receding gums,Itching,Swelling,Tophi,Numbness,Shortness of breath,Tenderness
Anemia,Difficulty walking,Burning,Difficulty sleeping,Sneezing,Increased mucus production,Frequent urination,Chest discomfort,Change in existing mole,Diarrhea,Problems with words,Morning stiffness,Bone pain,Vomiting,Body aches,Blisters,Shortness of breath,Hunger
Ulcerative Colitis,Severe headache,Unexplained bleeding,Staring spells,Rash,Frequent urination,Neck stiffness,Withdrawal from work,Chest discomfort,Itching,Diarrhea,Difficulty performing familiar tasks,Bloating,Bone fractures,Tenderness,Vomiting,Tophi,Blisters
Migraine,Blood in stool,Throbbing pain,Nausea,Constipation,Fatigue,Itching,Vomiting,Diarrhea,Tender abdomen,Swelling,Tenderness,Bloating,Congestion,Mouth sores,Stiff joints,Shortness of breath,Sore that doesn’t heal
Hepatitis B,Blood in stool,Stooped posture,Rash,Nausea,Frequent urination,Unexplained fevers,Withdrawal from work,Chest discomfort,Slight fever,Diarrhea,Difficulty performing familiar tasks,Itching,Bloating,Receding gums,Numbness,Shortness of breath,Gas
Irritable Bowel Syndrome,Swollen joints,Staring spells,Sneezing,Hard lumps,Nausea,Reduced appetite,Vomiting,Chest discomfort,Slight fever,Difficulty performing familiar tasks,Diarrhea,Bloating,Irritability,Difficulty swallowing,Blisters,Thickened skin,Hunger
Rheumatoid Arthritis,Inability to defecate,Unexplained bleeding,Stooped posture,Withdrawal from work,Vomiting,Chest discomfort,Receding gums,Bloating,Morning stiffness,Swelling,Mucus production,Tenderness,Body aches,Diarrhea,Blisters,Shortness of breath,Sore that doesn’t heal
Tuberculosis,Inability to defecate,Pneumonia,Rash,Nausea,Nosebleeds,Tremor,Neck stiffness,Increased thirst,Withdrawal from work,Vomiting,Itching,Diarrhea,Swelling,Tenderness,Shortness of breath,Anemia,Hunger
Cancer,Redness,Unexplained bleeding,Bowel issues,Fear,Rash,Change in bowel habits,Neck stiffness,Unexplained fevers,Itching,Tender abdomen,Bloating,Difficulty walking,Difficulty swallowing,Blisters,Shortness of breath,Thickened skin,Sore that doesn’t heal
Asthma,Bowel issues,Aura,Difficulty sleeping,Nausea,Hard lumps,Increased mucus production,Frequent urination,Tremor,Withdrawal from work,Itching,Vomiting,Diarrhea,Swelling,Mucus production,Tenderness,Numbness,Shortness of breath
Multiple Sclerosis,Redness,Change in bowel habits,Nausea,Frequent urination,Depression,Pain during urination,Withdrawal from work,Fatigue,Chest discomfort,Loss of height,Diarrhea,Skin infections,Difficulty performing familiar tasks,Bloating,Numbness,Hunger,Sore that doesn’t heal
Hepatitis C,Blood in stool,Inability to defecate,Increased thirst,Constipation,Belching,Jaw pain,Pain during urination,Mild fever,Itching,Diarrhea,Swelling,Tenderness,Body aches,Tophi,Shortness of breath,Hunger,Gas
Irritable Bowel Syndrome,Unexplained bleeding,Nausea,Nosebleeds,Coughing up blood,Frequent urination,Pain during urination,Mild fever,Chest discomfort,Loss of height,Diarrhea,Itching,Tenderness,Vomiting,Bloating,Blisters,Shortness of breath,Anemia
Chronic Obstructive Pulmonary Disease,Unexplained bleeding,Stooped posture,Fear,Sneezing,Hard lumps,Nosebleeds,Vomiting,Loss of height,Skin infections,Tender abdomen,Mucus production,Bone fractures,Swelling,Bloating,Difficulty swallowing,Shortness of breath,Gas
Cancer,Unexplained bleeding,Bleeding mole,Rash,Change in bowel habits,Increased mucus production,Nausea,Increased thirst,Unexplained fevers,Chest discomfort,Vomiting,Diarrhea,Tender abdomen,Swelling,Difficulty swallowing,Blisters,Shortness of breath,Sore that doesn’t heal
Migraine,Unexplained bleeding,Nausea,Nosebleeds,Constipation,Frequent urination,Loss of smell,Reduced appetite,Vomiting,Chest discomfort,Itching,Skin infections,Swelling,Bone fractures,Diarrhea,Bloating,Shortness of breath,Anemia
Lymphoma,Blood in stool,Sneezing,Nausea,Constipation,Pain during urination,Fatigue,Vomiting,Slight fever,Itching,Bloating,Swelling,Sensitivity to light,Weakness,Blisters,Shortness of breath,Hunger,Sore that doesn’t heal
Anemia,Blood in stool,Bleeding mole,Throbbing pain,Aura,Nausea,Increased thirst,Coughing up blood,Itching,Change in existing mole,Vomiting,Tender abdomen,Swelling,Numbness,Shortness of breath,Thickened skin,Anemia,Hunger
Eczema,Redness,Blood in stool,Nausea,Rapid pulse,Hard lumps,Loss of smell,Chest discomfort,Vomiting,Loss of height,Tender abdomen,Swelling,Bone pain,Bloating,Body aches,Difficulty swallowing,Thickened skin,Hunger
Bronchitis,Nausea,Hard lumps,Nosebleeds,Frequent urination,Increased thirst,Coughing up blood,Fatigue,Vomiting,Slight fever,Problems with words,Skin infections,Tenderness,Diarrhea,Swelling,Difficulty swallowing,Shortness of breath,Hunger
Kidney Stones,Bowel issues,Anemia,Nosebleeds,Increased mucus production,Frequent urination,Chest discomfort,Loss of height,Receding gums,Diarrhea,Swelling,Bloating,Vomiting,Blisters,Shortness of breath,Thickened skin,Hunger,Gas
COVID-19,Redness,Blood in stool,Inability to defecate,Bleeding mole,Throbbing pain,Burning,Nausea,Neck stiffness,Loss of smell,Vomiting,Shortness of breath,Diarrhea,Tender abdomen,Tophi,Loss of taste,Anemia,Sore that doesn’t heal
Pneumonia,Severe headache,Bowel issues,Swollen joints,Inability to defecate,Throbbing pain,Nausea,Loss of taste,Depression,Chest discomfort,Vomiting,Diarrhea,Problems with words,Tender abdomen,Itching,Swelling,Tophi,Shortness of breath
Lupus,Redness,Blood in stool,Fear,Sneezing,Nausea,Nosebleeds,Increased mucus production,Neck stiffness,Unexplained fevers,Vomiting,Diarrhea,Morning stiffness,Mucus production,Bone fractures,Swelling,Shortness of breath,Gas
Asthma,Inability to defecate,Unexplained bleeding,Swollen joints,Throbbing pain,Nosebleeds,Increased mucus production,Neck stiffness,Chest discomfort,Itching,Vomiting,Bloating,Swelling,Tenderness,Diarrhea,Shortness of breath,Thickened skin,Sore that doesn’t heal
Stroke,Severe headache,Hard lumps,Unexplained fevers,Itching,Chest discomfort,Diarrhea,Difficulty performing familiar tasks,Difficulty thinking,Bloating,Swelling,Tenderness,Body aches,Vomiting,Numbness,Loss of taste,Anemia,Sore that doesn’t heal
Stroke,Severe headache,Redness,Soreness,Bleeding mole,Aura,Nausea,Nosebleeds,Constipation,Vomiting,Diarrhea,Tender abdomen,Bone fractures,Bloating,Shortness of breath,Thickened skin,Sore that doesn’t heal,Gas
Hypertension,Redness,Staring spells,Sneezing,Increased mucus production,Nosebleeds,Loss of smell,Withdrawal from work,Itching,Change in existing mole,Diarrhea,Receding gums,Difficulty thinking,Swelling,Bloating,Vomiting,Difficulty swallowing,Thickened skin
Common Cold,Severe headache,Inability to defecate,Burning,Sneezing,Anemia,Hard lumps,Change in bowel habits,Itching,Chest discomfort,Diarrhea,Difficulty performing familiar tasks,Bone pain,Bloating,Vomiting,Difficulty swallowing,Shortness of breath,Hunger
Hepatitis C,Redness,Swollen joints,Fear,Nausea,Unconsciousness,Frequent infections,Fatigue,Itching,Vomiting,Diarrhea,Difficulty performing familiar tasks,Receding gums,Mucus production,Congestion,Tophi,Shortness of breath,Gas
Asthma,Severe headache,Difficulty sleeping,Nosebleeds,Hard lumps,Increased mucus production,Loss of smell,Vomiting,Slight fever,Itching,Tender abdomen,Bone pain,Swelling,Difficulty swallowing,Shortness of breath,Thickened skin,Anemia,Sore that doesn’t heal
Appendicitis,Hunger,Hard lumps,Nosebleeds,Reduced appetite,Itching,Chest discomfort,Diarrhea,Tender abdomen,Swelling,Bone pain,Bloating,Tenderness,Difficulty walking,Numbness,Loss of taste,Anemia,Sore that doesn’t heal
Migraine,Swollen joints,Stooped posture,Pneumonia,Aura,Nausea,Burning,Increased mucus production,Neck stiffness,Reduced appetite,Vomiting,Itching,Diarrhea,Swelling,Tenderness,Body aches,Numbness,Shortness of breath
Leukemia,Bleeding mole,Nausea,Anemia,Nosebleeds,Constipation,Frequent urination,Unconsciousness,Belching,Unexplained fevers,Itching,Chest discomfort,Diarrhea,Difficulty performing familiar tasks,Bone pain,Vomiting,Numbness,Hunger
Leukemia,Redness,Bowel issues,Stooped posture,Pneumonia,Nausea,Tremor,Nosebleeds,Belching,Frequent infections,Fatigue,Vomiting,Loss of height,Diarrhea,Bone pain,Swelling,Shortness of breath,Gas
Gastritis,Redness,Staring spells,Anemia,Hard lumps,Nosebleeds,Reduced appetite,Vomiting,Itching,Diarrhea,Bloating,Bone pain,Mucus production,Swelling,Tenderness,Difficulty swallowing,Shortness of breath,Hunger
Stroke,Severe headache,Soreness,Increased mucus production,Neck stiffness,Blisters,Vomiting,Itching,Receding gums,Change in existing mole,Bloating,Diarrhea,Swelling,Numbness,Tophi,Shortness of breath,Thickened skin,Anemia
Hypertension,Swollen joints,Pneumonia,Aura,Nausea,Tremor,Nosebleeds,Constipation,Frequent urination,Unconsciousness,Vomiting,Diarrhea,Difficulty performing familiar tasks,Swelling,Difficulty swallowing,Tophi,Thickened skin,Hunger
Stroke,Severe headache,Unexplained bleeding,Bowel issues,Blood in stool,Staring spells,Nausea,Frequent urination,Jaw pain,Blisters,Withdrawal from work,Vomiting,Change in existing mole,Diarrhea,Difficulty swallowing,Tophi,Shortness of breath,Gas
Tuberculosis,Staring spells,Nosebleeds,Withdrawal from work,Itching,Loss of height,Diarrhea,Bloating,Difficulty thinking,Swelling,Tenderness,Vomiting,Body aches,Numbness,Difficulty swallowing,Shortness of breath,Anemia,Sore that doesn’t heal
Tuberculosis,Redness,Throbbing pain,Nausea,Tremor,Coughing up blood,Jaw pain,Loss of automatic movements,Fatigue,Vomiting,Chest discomfort,Diarrhea,Bloating,Bone pain,Anxiety,Numbness,Shortness of breath,Thickened skin
Epilepsy,Inability to defecate,Pneumonia,Nausea,Misplacing things,Unexplained fevers,Butterfly-shaped rash,Fatigue,Vomiting,Itching,Receding gums,Bloating,Swelling,Irregular heartbeat,Congestion,Shortness of breath,Hunger,Sore that doesn’t heal
Influenza,Redness,Stooped posture,Sneezing,Change in bowel habits,Nosebleeds,Unexplained fevers,Chest discomfort,Itching,Diarrhea,Tender abdomen,Bloating,Vomiting,Shortness of breath,Difficulty swallowing,Loss of taste,Hunger,Sore that doesn’t heal
Kidney Stones,Redness,Bowel issues,Staring spells,Rash,Increased mucus production,Nosebleeds,Frequent urination,Hard lumps,Reduced appetite,Vomiting,Itching,Diarrhea,Bloating,Numbness,Difficulty swallowing,Shortness of breath,Thickened skin
Bronchitis,Soreness,Chest pain,Nausea,Increased mucus production,Constipation,Loss of smell,Jaw pain,Fatigue,Itching,Diarrhea,Tenderness,Persistent cough,Pigment spread,Numbness,Shortness of breath,Lump or swelling,Swollen lymph nodes
Irritable Bowel Syndrome,Unexplained bleeding,Soreness,Difficulty sleeping,Increased mucus production,Frequent urination,Loss of smell,Chest discomfort,Vomiting,Diarrhea,Bloating,Bone pain,Swelling,Numbness,Shortness of breath,Anemia,Hunger,Gas
Gastritis,Difficulty sleeping,Nausea,Tremor,Increased thirst,Rapid pulse,Loss of smell,Belching,Jaw pain,Frequent infections,Pain during urination,Vomiting,Fatigue,Tender abdomen,Bloating,Irritability,Shortness of breath,Gas
Eczema,Redness,Sneezing,Nosebleeds,Frequent urination,Itching,Slight fever,Diarrhea,Difficulty performing familiar tasks,Morning stiffness,Mucus production,Bone pain,Tenderness,Bloating,Vomiting,Numbness,Shortness of breath,Thickened skin
Multiple Sclerosis,Inability to defecate,Bowel issues,Blood in stool,Bleeding mole,Neck stiffness,Blisters,Vomiting,Loss of height,Diarrhea,Tender abdomen,Bone fractures,Swelling,Difficulty swallowing,Numbness,Tophi,Shortness of breath,Thickened skin
Lymphoma,Inability to defecate,Difficulty sleeping,Nausea,Increased thirst,Unexplained fevers,Vomiting,Itching,Diarrhea,Tender abdomen,Morning stiffness,Loss of height,Bone fractures,Swelling,Body aches,Numbness,Thickened skin,Hunger
Rheumatoid Arthritis,Unexplained bleeding,Swollen joints,Aura,Nausea,Hard lumps,Increased thirst,Itching,Change in existing mole,Diarrhea,Difficulty performing familiar tasks,Morning stiffness,Difficulty thinking,Bone fractures,Bloating,Loss of taste,Hunger,Sore that doesn’t heal
Ulcerative Colitis,Severe headache,Unexplained bleeding,Inability to defecate,Difficulty sleeping,Constipation,Frequent urination,Loss of automatic movements,Fatigue,Vomiting,Congestion,Diarrhea,Skin infections,Receding gums,Swelling,Irregular heartbeat,Blisters,Hunger
Hypertension,Redness,Swollen joints,Pneumonia,Burning,Staring spells,Nausea,Constipation,Frequent urination,Depression,Withdrawal from work,Fatigue,Irregular heartbeat,Slight fever,Swelling,Tenderness,Shortness of breath,Thickened skin
Anemia,Inability to defecate,Nausea,Constipation,Belching,Loss of smell,Fatigue,Vomiting,Irregular heartbeat,Problems with words,Tender abdomen,Bloating,Swelling,Diarrhea,Writing changes,Weakness,Sensitivity to light,Shortness of breath
Lupus,Fear,Change in bowel habits,Nausea,Misplacing things,Loss of taste,Coughing up blood,Vomiting,Diarrhea,Difficulty performing familiar tasks,Bone pain,Mucus production,Swelling,Bloating,Difficulty walking,Shortness of breath,Thickened skin,Anemia
Rheumatoid Arthritis,Redness,Swollen joints,Inability to defecate,Loss of smell,Withdrawal from work,Chest discomfort,Vomiting,Change in existing mole,Bloating,Morning stiffness,Swelling,Tenderness,Diarrhea,Irritability,Difficulty swallowing,Tophi,Shortness of breath
Hepatitis B,Redness,Swollen joints,Pneumonia,Nausea,Nosebleeds,Withdrawal from work,Vomiting,Chest discomfort,Problems with words,Tender abdomen,Loss of height,Itching,Bloating,Difficulty swallowing,Shortness of breath,Thickened skin,Gas
Pancreatitis,Difficulty sleeping,Nausea,Nosebleeds,Increased mucus production,Rapid pulse,Pain during urination,Fatigue,Itching,Vomiting,Diarrhea,Tender abdomen,Bloating,Bone pain,Mouth sores,Weakness,Bladder issues,Numbness
Irritable Bowel Syndrome,Severe headache,Inability to defecate,Soreness,Bleeding mole,Nausea,Nosebleeds,Constipation,Fatigue,Vomiting,Slight fever,Diarrhea,Bloating,Receding gums,Swelling,Hunger,Sore that doesn’t heal,Gas
Ulcerative Colitis,Redness,Blood in stool,Inability to defecate,Nausea,Increased mucus production,Pain during urination,Reduced appetite,Fatigue,Itching,Change in existing mole,Diarrhea,Problems with words,Bone fractures,Swelling,Bloating,Shortness of breath,Hunger
Chronic Obstructive Pulmonary Disease,Redness,Unexplained bleeding,Blood in stool,Bleeding mole,Nausea,Hard lumps,Frequent urination,Vomiting,Itching,Diarrhea,Bloating,Bone pain,Receding gums,Swelling,Difficulty swallowing,Shortness of breath,Gas
Leukemia,Sneezing,Nosebleeds,Neck stiffness,Loss of smell,Frequent urination,Withdrawal from work,Itching,Change in existing mole,Receding gums,Bloating,Bone pain,Swelling,Tenderness,Diarrhea,Vomiting,Numbness,Difficulty swallowing
Chronic Obstructive Pulmonary Disease,Severe headache,Redness,Pale skin,Throbbing pain,Aura,Nausea,Hard lumps,Constipation,Neck stiffness,Unconsciousness,Fatigue,Vomiting,Diarrhea,Bloating,Bone fractures,Mucus production,Shortness of breath
Anemia,Redness,Stooped posture,Fear,Sneezing,Nosebleeds,Reduced appetite,Problems with words,Bloating,Difficulty thinking,Mucus production,Receding gums,Swelling,Irritability,Diarrhea,Difficulty swallowing,Shortness of breath,Gas
Lupus,Severe headache,Bowel issues,Inability to defecate,Throbbing pain,Burning,Frequent urination,Reduced appetite,Vomiting,Loss of height,Diarrhea,Bloating,Bone pain,Bone fractures,Swelling,Numbness,Shortness of breath,Sore that doesn’t heal
Hypertension,Throbbing pain,Staring spells,Nausea,Increased mucus production,Nosebleeds,Neck stiffness,Withdrawal from work,Vomiting,Loss of height,Itching,Skin infections,Bone fractures,Bloating,Diarrhea,Difficulty swallowing,Shortness of breath,Anemia
Epilepsy,Fear,Burning,Staring spells,Aura,Nausea,Unconsciousness,Fatigue,Chest discomfort,Vomiting,Diarrhea,Anxiety,Bone fractures,Irregular heartbeat,Stiff joints,Shortness of breath,Seizures,Gas
Kidney Stones,Inability to defecate,Unexplained bleeding,Swollen joints,Bleeding mole,Nausea,Rapid pulse,Frequent urination,Belching,Pain during urination,Vomiting,Slight fever,Diarrhea,Itching,Bone pain,Loss of height,Numbness,Shortness of breath
Pancreatitis,Redness,Bleeding mole,Nausea,Rapid pulse,Constipation,Mild fever,Withdrawal from work,Fatigue,Vomiting,Diarrhea,Bloating,Tender abdomen,Difficulty performing familiar tasks,Swelling,Stiff joints,Blisters,Gas
Diabetes,Severe headache,Inability to defecate,Blood in stool,Bleeding mole,Difficulty sleeping,Hard lumps,Nosebleeds,Frequent urination,Vomiting,Itching,Diarrhea,Swelling,Bone fractures,Numbness,Blisters,Shortness of breath,Hunger
