Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Osteoporosis,Severe headache,Swollen joints,Body aches,Nausea,Constipation,Frequent urination,Unconsciousness,Unexplained fevers,Fullness,Vomiting,Change in existing mole,Diarrhea,Swelling,Tenderness,Irritability,Shortness of breath,Hunger
Appendicitis,Inability to defecate,Nausea,Constipation,Frequent urination,Loss of smell,Unconsciousness,Unexplained fevers,Jaw pain,Chest discomfort,Vomiting,Diarrhea,Loss of height,Swelling,Bone fractures,Itching,Change in existing mole,Body aches
Osteoporosis,Unexplained bleeding,Stooped posture,Staring spells,Nausea,Constipation,Reduced appetite,Fatigue,Vomiting,Itching,Diarrhea,Tender abdomen,Bone fractures,Morning stiffness,Bone pain,Swelling,Bloating,Weakness
Kidney Stones,Throbbing pain,Sneezing,Rash,Nosebleeds,Nausea,Frequent urination,Increased thirst,Unconsciousness,Pain during urination,Vomiting,Loss of height,Diarrhea,Bloating,Irritability,Tophi,Shortness of breath,Anemia
Peptic Ulcer,Nausea,Change in bowel habits,Constipation,Frequent urination,Loss of smell,Unconsciousness,Fullness,Reduced appetite,Chest discomfort,Vomiting,Diarrhea,Bone pain,Bone fractures,Swelling,Difficulty walking,Shortness of breath,Thickened skin
Appendicitis,Redness,Unexplained bleeding,Pneumonia,Difficulty sleeping,Sneezing,Nosebleeds,Anemia,Nausea,Vomiting,Shortness of breath,Diarrhea,Bloating,Swelling,Morning stiffness,Irritability,Loss of taste,Hunger
Rheumatoid Arthritis,Unexplained bleeding,Soreness,Fear,Nausea,Loss of taste,Frequent urination,Coughing up blood,Loss of automatic movements,Mild fever,Vomiting,Loss of height,Diarrhea,Tender abdomen,Swelling,Morning stiffness,Shortness of breath,Hunger
Pneumonia,Redness,Soreness,Stooped posture,Nausea,Nosebleeds,Misplacing things,Frequent urination,Constipation,Unexplained fevers,Chest discomfort,Diarrhea,Bloating,Difficulty thinking,Swelling,Tenderness,Shortness of breath,Anemia
Alzheimer's Disease,Redness,Swollen joints,Throbbing pain,Neck stiffness,Withdrawal from work,Itching,Vomiting,Diarrhea,Difficulty performing familiar tasks,Difficulty thinking,Mucus production,Bone pain,Swelling,Difficulty walking,Shortness of breath,Thickened skin,Anemia
Tuberculosis,Difficulty sleeping,Nausea,Increased mucus production,Constipation,Frequent urination,Vomiting,Chest discomfort,Receding gums,Bloating,Bone pain,Swelling,Numbness,Difficulty swallowing,Tophi,Shortness of breath,Thickened skin,Anemia
Heart Disease,Blood in stool,Bowel issues,Nausea,Constipation,Jaw pain,Fatigue,Itching,Irregular heartbeat,Diarrhea,Bloating,Swelling,Weakness,Difficulty swallowing,Numbness,Shortness of breath,Thickened skin,Gas
Gout,Redness,Blood in stool,Inability to defecate,Bleeding mole,Nausea,Rapid pulse,Increased mucus production,Hard lumps,Constipation,Vomiting,Slight fever,Diarrhea,Bloating,Swelling,Tophi,Shortness of breath,Hunger
Crohn's Disease,Unexplained bleeding,Swollen joints,Staring spells,Difficulty sleeping,Frequent urination,Unexplained fevers,Change in existing mole,Diarrhea,Bone fractures,Swelling,Tenderness,Irritability,Numbness,Blisters,Shortness of breath,Thickened skin,Anemia
Parkinson's Disease,Inability to defecate,Difficulty sleeping,Nausea,Rapid pulse,Misplacing things,Blisters,Change in existing mole,Loss of height,Vomiting,Bloating,Morning stiffness,Bone fractures,Swelling,Diarrhea,Difficulty swallowing,Tophi,Shortness of breath
Alzheimer's Disease,Inability to defecate,Bowel issues,Staring spells,Difficulty sleeping,Hard lumps,Loss of smell,Vomiting,Loss of height,Problems with words,Receding gums,Difficulty thinking,Diarrhea,Bloating,Numbness,Shortness of breath,Anemia,Sore that doesn’t heal
Tuberculosis,Soreness,Fear,Stooped posture,Staring spells,Pneumonia,Burning,Change in bowel habits,Nausea,Increased thirst,Vomiting,Tender abdomen,Tenderness,Mucus production,Bloating,Numbness,Shortness of breath,Hunger
Osteoporosis,Difficulty sleeping,Nosebleeds,Loss of smell,Reduced appetite,Chest discomfort,Loss of height,Receding gums,Skin infections,Diarrhea,Itching,Tender abdomen,Swelling,Vomiting,Bloating,Thickened skin,Hunger,Sore that doesn’t heal
Epilepsy,Redness,Swollen joints,Fear,Pneumonia,Staring spells,Throbbing pain,Nosebleeds,Hard lumps,Frequent urination,Nausea,Vomiting,Difficulty performing familiar tasks,Bone fractures,Swelling,Bloating,Hunger,Sore that doesn’t heal
Lymphoma,Inability to defecate,Swollen joints,Bleeding mole,Rash,Nausea,Nosebleeds,Loss of taste,Frequent urination,Misplacing things,Itching,Vomiting,Diarrhea,Tender abdomen,Bloating,Swelling,Shortness of breath,Hunger
Multiple Sclerosis,Redness,Bowel issues,Difficulty sleeping,Sneezing,Nosebleeds,Hard lumps,Frequent urination,Neck stiffness,Chest discomfort,Slight fever,Itching,Diarrhea,Bone fractures,Swelling,Numbness,Shortness of breath,Hunger
Osteoporosis,Bowel issues,Stooped posture,Nosebleeds,Increased mucus production,Chest discomfort,Loss of height,Vomiting,Tender abdomen,Morning stiffness,Swelling,Bloating,Body aches,Numbness,Shortness of breath,Hunger,Sore that doesn’t heal,Gas
Pancreatitis,Inability to defecate,Swollen joints,Soreness,Sneezing,Nausea,Nosebleeds,Increased thirst,Constipation,Depression,Chest discomfort,Itching,Loss of height,Tender abdomen,Difficulty performing familiar tasks,Morning stiffness,Swelling,Anemia
Lymphoma,Severe headache,Unexplained bleeding,Swollen joints,Bowel issues,Inability to defecate,Unexplained fevers,Itching,Vomiting,Slight fever,Receding gums,Bone pain,Bone fractures,Swelling,Loss of taste,Thickened skin,Anemia,Gas
Tuberculosis,Soreness,Stooped posture,Burning,Sneezing,Difficulty sleeping,Hard lumps,Nausea,Neck stiffness,Tremor,Coughing up blood,Change in existing mole,Vomiting,Diarrhea,Bloating,Difficulty thinking,Tophi,Shortness of breath
Multiple Sclerosis,Swollen joints,Fear,Nausea,Nosebleeds,Increased mucus production,Misplacing things,Loss of smell,Withdrawal from work,Vomiting,Chest discomfort,Itching,Difficulty performing familiar tasks,Swelling,Diarrhea,Irritability,Blisters,Shortness of breath
Lymphoma,Inability to defecate,Change in bowel habits,Nausea,Nosebleeds,Increased mucus production,Frequent urination,Increased thirst,Constipation,Fatigue,Itching,Writing changes,Diarrhea,Bloating,Swelling,Tender abdomen,Weakness,Shortness of breath
Eczema,Redness,Bowel issues,Soreness,Hard lumps,Nosebleeds,Frequent urination,Loss of smell,Reduced appetite,Itching,Vomiting,Receding gums,Tender abdomen,Swelling,Diarrhea,Bloating,Difficulty swallowing,Tophi
Crohn's Disease,Redness,Sneezing,Rash,Frequent urination,Loss of smell,Reduced appetite,Vomiting,Diarrhea,Difficulty performing familiar tasks,Swelling,Mucus production,Bloating,Numbness,Difficulty swallowing,Shortness of breath,Anemia,Hunger
Irritable Bowel Syndrome,Stooped posture,Burning,Difficulty sleeping,Nausea,Increased mucus production,Frequent urination,Fatigue,Chest discomfort,Loss of height,Diarrhea,Difficulty performing familiar tasks,Shortness of breath,Body aches,Redness in joints,Loss of taste,Hunger,Gas
Stroke,Severe headache,Redness,Staring spells,Nausea,Rapid pulse,Coughing up blood,Belching,Mild fever,Fatigue,Slight fever,Diarrhea,Bloating,Tender abdomen,Swelling,Difficulty swallowing,Shortness of breath,Gas
Influenza,Severe headache,Headache,Nausea,Increased mucus production,Neck stiffness,Unexplained fevers,Withdrawal from work,Fatigue,Chest discomfort,Problems with words,Tender abdomen,Bone fractures,Receding gums,Swelling,Tenderness,Diarrhea,Difficulty swallowing
Common Cold,Burning,Difficulty sleeping,Sneezing,Nausea,Constipation,Depression,Mild fever,Fatigue,Itching,Congestion,Diarrhea,Bloating,Weakness,Body aches,Shortness of breath,Anemia,Hunger
Pneumonia,Unexplained bleeding,Throbbing pain,Sneezing,Nausea,Loss of taste,Frequent urination,Constipation,Unconsciousness,Unexplained fevers,Depression,Fatigue,Diarrhea,Bloating,Swelling,Shortness of breath,Hunger,Sore that doesn’t heal
Lupus,Redness,Soreness,Nausea,Nosebleeds,Loss of smell,Pain during urination,Reduced appetite,Fatigue,Chest discomfort,Vomiting,Diarrhea,Receding gums,Congestion,Weakness,Shortness of breath,Sore that doesn’t heal,Gas
Psoriasis,Swollen joints,Burning,Nausea,Rapid pulse,Nosebleeds,Frequent urination,Neck stiffness,Belching,Butterfly-shaped rash,Reduced appetite,Itching,Vomiting,Bone fractures,Difficulty swallowing,Numbness,Loss of taste,Gas
Influenza,Fear,Burning,Rash,Nausea,Rapid pulse,Misplacing things,Frequent urination,Coughing up blood,Reduced appetite,Chest discomfort,Vomiting,Diarrhea,Problems with words,Bloating,Swelling,Thickened skin,Hunger
Appendicitis,Bowel issues,Soreness,Bleeding mole,Throbbing pain,Rash,Nausea,Hard lumps,Tremor,Constipation,Jaw pain,Reduced appetite,Vomiting,Loss of height,Diarrhea,Swelling,Shortness of breath,Sore that doesn’t heal
Asthma,Unexplained bleeding,Soreness,Pneumonia,Difficulty sleeping,Nausea,Frequent urination,Loss of smell,Loss of automatic movements,Mild fever,Vomiting,Diarrhea,Problems with words,Bloating,Difficulty swallowing,Blisters,Shortness of breath,Hunger
Hypertension,Inability to defecate,Burning,Rash,Nausea,Nosebleeds,Frequent urination,Loss of smell,Jaw pain,Reduced appetite,Vomiting,Skin infections,Swelling,Tenderness,Bloating,Difficulty swallowing,Shortness of breath,Anemia
Gout,Nausea,Increased mucus production,Nosebleeds,Hard lumps,Unconsciousness,Loss of automatic movements,Frequent infections,Fatigue,Itching,Chest discomfort,Change in existing mole,Skin infections,Swelling,Numbness,Irritability,Tophi,Blisters
Lymphoma,Redness,Nausea,Hard lumps,Increased mucus production,Frequent urination,Itching,Vomiting,Problems with words,Receding gums,Difficulty thinking,Diarrhea,Bloating,Numbness,Body aches,Difficulty swallowing,Blisters,Shortness of breath
Epilepsy,Fear,Staring spells,Sneezing,Nausea,Frequent urination,Mild fever,Reduced appetite,Vomiting,Itching,Receding gums,Bloating,Bone fractures,Diarrhea,Irritability,Blisters,Shortness of breath,Anemia
Diabetes,Bowel issues,Anemia,Increased mucus production,Neck stiffness,Frequent urination,Withdrawal from work,Vomiting,Slight fever,Itching,Tender abdomen,Difficulty thinking,Tenderness,Irritability,Body aches,Difficulty swallowing,Shortness of breath,Hunger
Stroke,Severe headache,Unexplained bleeding,Blood in stool,Rash,Change in bowel habits,Nosebleeds,Nausea,Frequent urination,Coughing up blood,Itching,Vomiting,Tender abdomen,Bloating,Mucus production,Irritability,Shortness of breath,Hunger
Irritable Bowel Syndrome,Redness,Swollen joints,Burning,Nausea,Neck stiffness,Loss of smell,Chest discomfort,Vomiting,Diarrhea,Bloating,Problems with words,Mucus production,Swelling,Tender abdomen,Shortness of breath,Anemia,Hunger
Asthma,Unexplained bleeding,Bleeding mole,Difficulty sleeping,Nausea,Increased mucus production,Belching,Loss of smell,Butterfly-shaped rash,Fatigue,Chest discomfort,Diarrhea,Tender abdomen,Bone fractures,Blisters,Shortness of breath,Thickened skin,Sore that doesn’t heal
COVID-19,Redness,Bleeding mole,Burning,Unexplained fevers,Change in existing mole,Chest discomfort,Diarrhea,Problems with words,Morning stiffness,Swelling,Bloating,Shortness of breath,Body aches,Blisters,Loss of taste,Anemia,Gas
Peptic Ulcer,Fear,Throbbing pain,Sneezing,Nausea,Nosebleeds,Rapid pulse,Jaw pain,Fullness,Mild fever,Fatigue,Vomiting,Itching,Writing changes,Bloating,Numbness,Thickened skin,Sore that doesn’t heal
Rheumatoid Arthritis,Bleeding mole,Difficulty sleeping,Change in bowel habits,Nausea,Frequent urination,Pain during urination,Fullness,Reduced appetite,Itching,Vomiting,Problems with words,Diarrhea,Swelling,Bloating,Difficulty walking,Numbness,Shortness of breath
Ulcerative Colitis,Blood in stool,Inability to defecate,Fear,Burning,Nausea,Nosebleeds,Increased thirst,Frequent urination,Constipation,Withdrawal from work,Itching,Diarrhea,Difficulty performing familiar tasks,Receding gums,Swelling,Shortness of breath,Hunger
Heart Disease,Aura,Nausea,Hard lumps,Constipation,Neck stiffness,Loss of smell,Jaw pain,Vomiting,Change in existing mole,Diarrhea,Bloating,Morning stiffness,Difficulty swallowing,Tophi,Shortness of breath,Thickened skin,Gas
Asthma,Redness,Fear,Difficulty sleeping,Nausea,Increased mucus production,Tremor,Neck stiffness,Increased thirst,Vomiting,Loss of height,Problems with words,Diarrhea,Difficulty thinking,Bone fractures,Difficulty swallowing,Shortness of breath,Sore that doesn’t heal
Common Cold,Redness,Soreness,Sneezing,Rash,Neck stiffness,Chest discomfort,Vomiting,Diarrhea,Skin infections,Problems with words,Difficulty thinking,Swelling,Itching,Body aches,Difficulty swallowing,Shortness of breath,Sore that doesn’t heal
Gout,Redness,Change in bowel habits,Increased mucus production,Reduced appetite,Chest discomfort,Vomiting,Slight fever,Difficulty performing familiar tasks,Swelling,Difficulty thinking,Tender abdomen,Loss of height,Change in existing mole,Tenderness,Diarrhea,Shortness of breath,Gas
Psoriasis,Swollen joints,Soreness,Bleeding mole,Burning,Staring spells,Nausea,Hard lumps,Frequent urination,Neck stiffness,Chest discomfort,Slight fever,Change in existing mole,Bloating,Swelling,Mucus production,Vomiting,Shortness of breath
Hepatitis C,Bleeding mole,Fear,Difficulty sleeping,Nausea,Nosebleeds,Increased mucus production,Neck stiffness,Rapid pulse,Unexplained fevers,Chest discomfort,Vomiting,Diarrhea,Change in existing mole,Tophi,Shortness of breath,Anemia,Hunger
Osteoporosis,Inability to defecate,Stooped posture,Sneezing,Hard lumps,Reduced appetite,Change in existing mole,Loss of height,Vomiting,Diarrhea,Bone fractures,Swelling,Tenderness,Difficulty swallowing,Blisters,Shortness of breath,Hunger,Sore that doesn’t heal
Heart Disease,Swollen joints,Fear,Staring spells,Difficulty sleeping,Nausea,Misplacing things,Frequent urination,Neck stiffness,Constipation,Reduced appetite,Chest discomfort,Change in existing mole,Diarrhea,Bloating,Irritability,Shortness of breath,Hunger
Migraine,Inability to defecate,Bowel issues,Stooped posture,Throbbing pain,Difficulty sleeping,Loss of taste,Neck stiffness,Itching,Chest discomfort,Loss of height,Bloating,Diarrhea,Mucus production,Vomiting,Shortness of breath,Thickened skin,Hunger
Appendicitis,Redness,Unexplained bleeding,Nausea,Constipation,Neck stiffness,Belching,Jaw pain,Fullness,Fatigue,Vomiting,Diarrhea,Problems with words,Swelling,Mucus production,Difficulty swallowing,Numbness,Shortness of breath
Chronic Obstructive Pulmonary Disease,Pneumonia,Throbbing pain,Nausea,Burning,Nosebleeds,Constipation,Fatigue,Vomiting,Itching,Congestion,Bloating,Bone pain,Swelling,Irregular heartbeat,Bladder issues,Blisters,Shortness of breath
Lymphoma,Severe headache,Bleeding mole,Fear,Throbbing pain,Reduced appetite,Chest discomfort,Itching,Vomiting,Bloating,Difficulty thinking,Morning stiffness,Bone fractures,Tenderness,Irritability,Diarrhea,Blisters,Shortness of breath
Parkinson's Disease,Redness,Bowel issues,Bleeding mole,Nausea,Tremor,Misplacing things,Constipation,Vomiting,Slight fever,Diarrhea,Skin infections,Bloating,Tender abdomen,Difficulty swallowing,Numbness,Shortness of breath,Anemia
Osteoporosis,Redness,Soreness,Burning,Staring spells,Nausea,Hard lumps,Coughing up blood,Reduced appetite,Itching,Loss of height,Receding gums,Bloating,Swelling,Vomiting,Diarrhea,Shortness of breath,Gas
Heart Disease,Severe headache,Swollen joints,Nausea,Tremor,Hard lumps,Nosebleeds,Constipation,Chest discomfort,Vomiting,Diarrhea,Itching,Difficulty thinking,Morning stiffness,Bloating,Blisters,Shortness of breath,Sore that doesn’t heal
Lupus,Inability to defecate,Unexplained bleeding,Fear,Body aches,Difficulty sleeping,Nausea,Nosebleeds,Jaw pain,Butterfly-shaped rash,Mild fever,Fatigue,Vomiting,Diarrhea,Bloating,Irritability,Difficulty swallowing,Shortness of breath
Tuberculosis,Severe headache,Pneumonia,Difficulty sleeping,Rash,Change in bowel habits,Unconsciousness,Frequent infections,Fatigue,Vomiting,Slight fever,Loss of height,Difficulty performing familiar tasks,Morning stiffness,Bloating,Diarrhea,Congestion,Shortness of breath
Hepatitis B,Inability to defecate,Swollen joints,Stooped posture,Nausea,Nosebleeds,Increased mucus production,Increased thirst,Fatigue,Itching,Vomiting,Diarrhea,Skin infections,Bloating,Mucus production,Numbness,Shortness of breath,Hunger
Anemia,Redness,Swollen joints,Soreness,Throbbing pain,Burning,Rapid pulse,Increased mucus production,Frequent urination,Loss of smell,Frequent infections,Fatigue,Chest discomfort,Vomiting,Change in existing mole,Morning stiffness,Shortness of breath,Sore that doesn’t heal
Celiac Disease,Severe headache,Bowel issues,Nausea,Tremor,Rapid pulse,Loss of smell,Loss of automatic movements,Vomiting,Slight fever,Diarrhea,Bloating,Bone pain,Mucus production,Bone fractures,Difficulty swallowing,Shortness of breath,Anemia
Gout,Redness,Aura,Staring spells,Nausea,Hard lumps,Rapid pulse,Constipation,Loss of smell,Fatigue,Easy bruising,Itching,Diarrhea,Bloating,Swelling,Weakness,Tophi,Hunger
Diabetes,Redness,Swollen joints,Stooped posture,Hard lumps,Frequent urination,Chest discomfort,Itching,Diarrhea,Skin infections,Swelling,Bloating,Irritability,Numbness,Blisters,Shortness of breath,Hunger,Gas
Multiple Sclerosis,Bowel issues,Soreness,Staring spells,Difficulty sleeping,Hard lumps,Nausea,Constipation,Belching,Itching,Vomiting,Diarrhea,Swelling,Difficulty swallowing,Difficulty walking,Numbness,Shortness of breath,Sore that doesn’t heal
Gout,Redness,Bowel issues,Bleeding mole,Pneumonia,Increased mucus production,Hard lumps,Loss of taste,Vomiting,Tender abdomen,Swelling,Morning stiffness,Bloating,Numbness,Difficulty swallowing,Tophi,Shortness of breath,Gas
Psoriasis,Redness,Soreness,Nausea,Increased mucus production,Belching,Loss of smell,Pain during urination,Butterfly-shaped rash,Fatigue,Fullness,Vomiting,Mouth sores,Diarrhea,Difficulty swallowing,Shortness of breath,Hunger,Gas
HIV/AIDS,Swollen joints,Pneumonia,Rash,Unexplained fevers,Vomiting,Chest discomfort,Diarrhea,Skin infections,Problems with words,Swelling,Bloating,Receding gums,Itching,Tenderness,Tophi,Shortness of breath,Hunger
Kidney Stones,Redness,Swollen joints,Staring spells,Nausea,Nosebleeds,Misplacing things,Frequent urination,Neck stiffness,Withdrawal from work,Vomiting,Itching,Diarrhea,Skin infections,Swelling,Difficulty swallowing,Shortness of breath,Hunger
Melanoma,Redness,Swollen joints,Staring spells,Nausea,Nosebleeds,Tremor,Constipation,Fatigue,Itching,Change in existing mole,Diarrhea,Vomiting,Swelling,Irregular heartbeat,Mouth sores,Shortness of breath,Hunger
Osteoporosis,Redness,Blood in stool,Stooped posture,Change in bowel habits,Nausea,Rapid pulse,Frequent urination,Loss of smell,Belching,Vomiting,Loss of height,Diarrhea,Tender abdomen,Swelling,Tenderness,Bloating,Shortness of breath
Melanoma,Blood in stool,Bleeding mole,Nausea,Misplacing things,Butterfly-shaped rash,Reduced appetite,Fatigue,Itching,Change in existing mole,Diarrhea,Numbness,Swelling,Tenderness,Difficulty swallowing,Shortness of breath,Thickened skin,Pigment spread
Hepatitis B,Severe headache,Swollen joints,Stooped posture,Rapid pulse,Nausea,Hard lumps,Nosebleeds,Frequent urination,Constipation,Reduced appetite,Itching,Diarrhea,Bloating,Bone fractures,Tenderness,Blisters,Sore that doesn’t heal
Rheumatoid Arthritis,Unexplained bleeding,Bowel issues,Stooped posture,Burning,Nausea,Nosebleeds,Increased mucus production,Vomiting,Chest discomfort,Diarrhea,Loss of height,Swelling,Itching,Tenderness,Bloating,Irritability,Shortness of breath
Asthma,Severe headache,Inability to defecate,Blood in stool,Difficulty sleeping,Hard lumps,Increased mucus production,Vomiting,Shortness of breath,Diarrhea,Receding gums,Bone pain,Mucus production,Swelling,Bloating,Difficulty swallowing,Loss of taste,Gas
Kidney Stones,Blood in stool,Fear,Burning,Nausea,Increased thirst,Pain during urination,Unexplained fevers,Itching,Chest discomfort,Vomiting,Bloating,Swelling,Mucus production,Diarrhea,Shortness of breath,Hunger,Gas
Psoriasis,Severe headache,Swollen joints,Inability to defecate,Stooped posture,Burning,Difficulty sleeping,Throbbing pain,Nausea,Coughing up blood,Frequent urination,Itching,Vomiting,Receding gums,Swelling,Difficulty swallowing,Shortness of breath,Hunger
Appendicitis,Rash,Nausea,Nosebleeds,Increased mucus production,Rapid pulse,Constipation,Fatigue,Vomiting,Slight fever,Diarrhea,Itching,Swelling,Bloating,Anxiety,Numbness,Shortness of breath,Limited range of motion
Asthma,Inability to defecate,Bleeding mole,Change in bowel habits,Nausea,Rapid pulse,Constipation,Unconsciousness,Jaw pain,Frequent infections,Unexplained fevers,Vomiting,Slight fever,Diarrhea,Itching,Bloating,Difficulty swallowing,Shortness of breath
Diabetes,Stooped posture,Rash,Anemia,Increased mucus production,Neck stiffness,Pain during urination,Fatigue,Irregular heartbeat,Diarrhea,Skin infections,Receding gums,Swelling,Bloating,Irritability,Numbness,Shortness of breath,Hunger
Hepatitis C,Severe headache,Unexplained bleeding,Bowel issues,Fear,Inability to defecate,Throbbing pain,Burning,Nausea,Neck stiffness,Frequent infections,Vomiting,Itching,Skin infections,Difficulty thinking,Shortness of breath,Thickened skin,Gas
Hepatitis B,Blood in stool,Swollen joints,Staring spells,Nausea,Nosebleeds,Loss of smell,Fatigue,Chest discomfort,Vomiting,Change in existing mole,Skin infections,Swelling,Mucus production,Diarrhea,Bloating,Shortness of breath,Sore that doesn’t heal
Multiple Sclerosis,Inability to defecate,Blood in stool,Soreness,Nausea,Tremor,Hard lumps,Frequent urination,Itching,Vomiting,Diarrhea,Difficulty performing familiar tasks,Bone pain,Tenderness,Bloating,Shortness of breath,Anemia,Sore that doesn’t heal
Eczema,Redness,Swollen joints,Inability to defecate,Change in bowel habits,Nausea,Hard lumps,Loss of smell,Reduced appetite,Itching,Chest discomfort,Vomiting,Bloating,Swelling,Tenderness,Difficulty swallowing,Tophi,Shortness of breath
Psoriasis,Swollen joints,Soreness,Fear,Unexplained bleeding,Difficulty sleeping,Reduced appetite,Chest discomfort,Slight fever,Diarrhea,Difficulty performing familiar tasks,Swelling,Itching,Bloating,Body aches,Difficulty swallowing,Thickened skin,Anemia
COVID-19,Severe headache,Bowel issues,Redness,Fear,Nosebleeds,Hard lumps,Loss of smell,Blisters,Vomiting,Loss of height,Diarrhea,Itching,Bloating,Numbness,Tophi,Shortness of breath,Sore that doesn’t heal
Parkinson's Disease,Pneumonia,Throbbing pain,Difficulty sleeping,Aura,Nausea,Constipation,Frequent urination,Jaw pain,Loss of automatic movements,Itching,Vomiting,Receding gums,Tender abdomen,Bloating,Difficulty swallowing,Numbness,Shortness of breath
Influenza,Pneumonia,Nausea,Increased mucus production,Increased thirst,Neck stiffness,Loss of smell,Constipation,Itching,Chest discomfort,Vomiting,Receding gums,Bone fractures,Swelling,Diarrhea,Irritability,Shortness of breath,Sore that doesn’t heal
Psoriasis,Swollen joints,Unexplained bleeding,Burning,Rash,Nausea,Increased thirst,Loss of smell,Jaw pain,Fatigue,Vomiting,Itching,Bloating,Swelling,Irritability,Difficulty swallowing,Shortness of breath,Hunger
Hepatitis B,Nausea,Misplacing things,Constipation,Frequent urination,Pain during urination,Fatigue,Itching,Chest discomfort,Receding gums,Diarrhea,Bloating,Vomiting,Congestion,Tophi,Shortness of breath,Anemia,Gas
Celiac Disease,Unexplained bleeding,Nausea,Constipation,Neck stiffness,Fatigue,Vomiting,Itching,Diarrhea,Bloating,Difficulty performing familiar tasks,Difficulty thinking,Weakness,Tophi,Hair loss,Shortness of breath,Anemia,Hunger
Influenza,Bowel issues,Swollen joints,Nausea,Hard lumps,Frequent infections,Fatigue,Persistent cough,Itching,Chest discomfort,Diarrhea,Irregular heartbeat,Weakness,Difficulty walking,Sensitivity to light,Shortness of breath,Sore that doesn’t heal,Gas
